"","m_name","m_director","m_actor","m_year","m_country","m_type","m_score","m_commit_count","m_detail_url"
"166","岁月神偷","导演: 罗启锐 Alex Law","主演: 吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍...","2010","中国香港 中国大陆","剧情 家庭","8.7","523352","https://movie.douban.com/subject/3792799/"
"167","头号玩家","导演: 史蒂文·斯皮尔伯格 Steven Spielberg","主演: 泰伊·谢里丹 Tye Sheri...","2018","美国","动作 科幻 冒险","8.7","1199211","https://movie.douban.com/subject/4920389/"
"168","头脑特工队","导演: 彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...","","2015","美国","喜剧 动画 冒险","8.8","519721","https://movie.douban.com/subject/10533913/"
"169","记忆碎片","导演: 克里斯托弗·诺兰 Christopher Nolan","主演: 盖·皮尔斯 Guy Pearce /...","2000","美国","犯罪 剧情 悬疑 惊悚","8.7","534368","https://movie.douban.com/subject/1304447/"
"170","你的名字。","导演: 新海诚 Makoto Shinkai","主演: 神木隆之介 Ryûnosuke Kamiki / 上...","2016","日本","剧情 爱情 动画","8.5","1208299","https://movie.douban.com/subject/26683290/"
"171","忠犬八公物语","导演: Seijirô Kôyama","主演: 山本圭 Kei Yamamoto / 井川比佐志 Hisa...","1987","日本","剧情","9.2","167349","https://movie.douban.com/subject/1959195/"
"172","荒蛮故事","导演: 达米安·斯兹弗隆 Damián Szifron","主演: 达里奥·葛兰帝内提 Darío...","2014","阿根廷 西班牙","剧情 喜剧 犯罪","8.8","381371","https://movie.douban.com/subject/24750126/"
"173","惊魂记","导演: 阿尔弗雷德·希区柯克 Alfred Hitchcock","主演: 安东尼·博金斯 Antho...","1960","美国","悬疑 惊悚 恐怖","9.0","231576","https://movie.douban.com/subject/1293181/"
"174","海街日记","导演: 是枝裕和 Hirokazu Koreeda","主演: 绫濑遥 Haruka Ayase / 长泽雅美 M...","2015","日本","剧情 家庭","8.8","376032","https://movie.douban.com/subject/25895901/"
"175","爆裂鼓手","导演: 达米恩·查泽雷 Damien Chazelle","主演: 迈尔斯·特勒 Miles Teller /...","2014","美国","剧情 音乐","8.7","497147","https://movie.douban.com/subject/25773932/"
"176","哈利·波特与火焰杯","导演: 迈克·内威尔 Mike Newell","主演: 丹尼尔·雷德克里夫 Daniel Radclif...","2005","英国 美国","悬疑 奇幻 冒险","8.7","527780","https://movie.douban.com/subject/1309055/"
"177","东邪西毒","导演: 王家卫 Kar Wai Wong","主演: 张国荣 Leslie Cheung / 林青霞 Brigitte...","1994","中国香港 中国台湾","剧情 动作 爱情 武侠 古装","8.6","513172","https://movie.douban.com/subject/1292328/"
"178","贫民窟的百万富翁","导演: 丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan","主演: 戴夫...","2008","英国","剧情 爱情","8.6","661985","https://movie.douban.com/subject/2209573/"
"179","真爱至上","导演: 理查德·柯蒂斯 Richard Curtis","主演: 休·格兰特 Hugh Grant / 柯林...","2003","英国 美国 法国","喜剧 剧情 爱情","8.6","641311","https://movie.douban.com/subject/1292401/"
"180","寄生虫","导演: 奉俊昊 Joon-ho Bong","主演: 宋康昊 Kang-ho Song / 李善均 Seon-gyun...","2019","韩国","剧情 喜剧","8.8","1193635","https://movie.douban.com/subject/27010768/"
"181","黑天鹅","导演: 达伦·阿罗诺夫斯基 Darren Aronofsky","主演: 娜塔莉·波特曼 Natalie...","2010","美国","剧情 惊悚","8.6","713035","https://movie.douban.com/subject/1978709/"
"182","萤火虫之墓","导演: 高畑勋 Isao Takahata","主演: 辰己努 / 白石绫乃 / 志乃原良子","1988","日本","动画 剧情 战争","8.7","368125","https://movie.douban.com/subject/1293318/"
"183","绿里奇迹","导演: Frank Darabont","主演: 汤姆·汉克斯 Tom Hanks / 大卫·摩斯 David M...","1999","美国","犯罪 剧情 奇幻 悬疑","8.9","271178","https://movie.douban.com/subject/1300374/"
"184","无敌破坏王","导演: 瑞奇·莫尔 Rich Moore","主演: 约翰·C·赖利 John C. Reilly / 萨拉...","2012","美国","喜剧 动画 奇幻 冒险","8.7","464047","https://movie.douban.com/subject/6534248/"
"185","冰川时代","导演: 卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge","主演...","2002","美国","喜剧 动画 冒险","8.6","540968","https://movie.douban.com/subject/1291578/"
"186","你看起来好像很好吃","导演: 藤森雅也 Masaya Fujimori","主演: 山口胜平 Kappei Yamaguchi / 爱河...","2010","日本","剧情 动画 儿童","8.9","293440","https://movie.douban.com/subject/4848115/"
"187","雨人","导演: 巴瑞·莱文森 Barry Levinson","主演: 达斯汀·霍夫曼 Dustin Hoffman ...","1988","美国","剧情","8.7","358703","https://movie.douban.com/subject/1291870/"
"188","爱在午夜降临前","导演: 理查德·林克莱特 Richard Linklater","主演: 伊桑·霍克 Ethan Hawke ...","2013","美国 希腊","剧情 爱情","8.8","321441","https://movie.douban.com/subject/10808442/"
"189","雨中曲","导演: 斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly","主演: 吉恩·...","1952","美国","喜剧 歌舞 爱情","9.1","183865","https://movie.douban.com/subject/1293460/"
"190","九品芝麻官","导演: 王晶 Jing Wong","主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng / ...","1994","中国香港 中国大陆","剧情 喜剧 古装","8.6","549538","https://movie.douban.com/subject/1297518/"
"191","恋恋笔记本","导演: 尼克·卡索维茨 Nick Cassavetes","主演: 瑞恩·高斯林 Ryan Gosling /...","2004","美国","剧情 爱情","8.6","577844","https://movie.douban.com/subject/1309163/"
"192","疯狂的石头","导演: 宁浩 Hao Ning","主演: 郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin","2006","中国大陆 中国香港","喜剧 犯罪","8.5","705644","https://movie.douban.com/subject/1862151/"
"193","魔女宅急便","导演: 宫崎骏 Hayao Miyazaki","主演: 高山南 Minami Takayama / 佐久间玲 Re...","1989","日本","动画 奇幻 冒险","8.7","399186","https://movie.douban.com/subject/1307811/"
"194","恐怖游轮","导演: 克里斯托弗·史密斯 Christopher Smith","主演: 梅利莎·乔治 Melissa ...","2009","英国 澳大利亚","剧情 悬疑 惊悚","8.5","704610","https://movie.douban.com/subject/3011051/"
"195","小偷家族","导演: 是枝裕和 Hirokazu Koreeda","主演: 中川雅也 Lily Franky / 安藤樱 Sa...","2018","日本","剧情 犯罪 家庭","8.7","723611","https://movie.douban.com/subject/27622447/"
"196","2001太空漫游","导演: 斯坦利·库布里克 Stanley Kubrick","主演: 凯尔·杜拉 Keir Dullea / ...","1968","英国 美国","科幻 惊悚 冒险","8.9","264986","https://movie.douban.com/subject/1292226/"
"197","虎口脱险","导演: 杰拉尔·乌里 Gérard Oury","主演: 路易·德·菲耐斯 Louis de Funès...","1966","法国 英国","喜剧 战争","8.9","214744","https://movie.douban.com/subject/1296909/"
"198","可可西里","导演: 陆川 Chuan Lu","主演: 多布杰 Duobujie / 张磊 Lei Zhang / 亓亮 Qi L...","2004","中国大陆 中国香港","剧情 犯罪","8.8","260756","https://movie.douban.com/subject/1308857/"
"199","色，戒","导演: 李安 Ang Lee","主演: 梁朝伟 Tony Leung Chiu Wai / 汤唯 Wei Tang / ...","2007","中国台湾 中国大陆 美国 中国香港","剧情 爱情 情色","8.6","631854","https://movie.douban.com/subject/1828115/"
"200","海边的曼彻斯特","导演: 肯尼斯·罗纳根 Kenneth Lonergan","主演: 卡西·阿弗莱克 Casey Affle...","2016","美国","剧情 家庭","8.6","428135","https://movie.douban.com/subject/25980443/"
"201","城市之光","导演: Charles Chaplin","主演: 查理·卓别林 Charles Chaplin / 弗吉尼亚·...","1931","美国","喜剧 剧情 爱情","9.3","120716","https://movie.douban.com/subject/1293908/"
"202","人工智能","导演: 史蒂文·斯皮尔伯格 Steven Spielberg","主演: 海利·乔·奥斯蒙 Haley...","2001","美国 英国","剧情 科幻","8.7","385124","https://movie.douban.com/subject/1302827/"
"203","二十二","导演: 郭柯 Ke Guo","主演: ","2015","中国大陆","纪录片","8.7","264289","https://movie.douban.com/subject/26430107/"
"204","罗生门","导演: 黑泽明 Akira Kurosawa","主演: 三船敏郎 Toshirô Mifune / 京町子 ...","1950","日本","剧情 犯罪 悬疑","8.8","269751","https://movie.douban.com/subject/1291879/"
"205","牯岭街少年杀人事件","导演: 杨德昌 Edward Yang","主演: 张震 Chen Chang / 杨静怡 Lisa Yang / 张...","1991","中国台湾","剧情 犯罪","8.9","235942","https://movie.douban.com/subject/1292329/"
"206","终结者2：审判日","导演: 詹姆斯·卡梅隆 James Cameron","主演: 阿诺·施瓦辛格 Arnold Schwarz...","1991","美国 法国","动作 科幻","8.8","301584","https://movie.douban.com/subject/1291844/"
"207","初恋这件小事","导演: 普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...","","2010","泰国","剧情 喜剧 爱情","8.4","886480","https://movie.douban.com/subject/4739952/"
"208","房间","导演: 伦尼·阿伯拉罕森 Lenny Abrahamson","主演: 布丽·拉尔森 Brie Larson...","2015","爱尔兰 加拿大 英国 美国","剧情 家庭","8.8","334214","https://movie.douban.com/subject/25724855/"
"209","遗愿清单","导演: 罗伯·莱纳 Rob Reiner","主演: 杰克·尼科尔森 Jack Nicholson / 摩根...","2007","美国","冒险 喜剧 剧情","8.7","365841","https://movie.douban.com/subject/1867345/"
"210","青蛇","导演: 徐克 Hark Tsui","主演: 张曼玉 Maggie Cheung / 王祖贤 Joey Wang / ...","1993","中国香港 中国大陆","剧情 爱情 奇幻 古装","8.6","453722","https://movie.douban.com/subject/1303394/"
"211","魂断蓝桥","导演: 茂文·勒鲁瓦 Mervyn LeRoy","主演: 费雯·丽 Vivien Leigh / 罗伯特·...","1940","美国","剧情 爱情 战争","8.8","242061","https://movie.douban.com/subject/1293964/"
"212","大佛普拉斯","导演: 黄信尧 Hsin-yao Huang","主演: 庄益增 Yizeng Zhuang / 陈竹昇 Chu-sh...","2017","中国台湾","剧情 喜剧","8.7","370000","https://movie.douban.com/subject/27059130/"
"213","奇迹男孩","导演: 斯蒂芬·卓博斯基 Stephen Chbosky","主演: 雅各布·特伦布莱 Jacob Tr...","2017","美国 中国香港","剧情 儿童 家庭","8.6","495808","https://movie.douban.com/subject/26787574/"
"214","源代码","导演: 邓肯·琼斯 Duncan Jones","主演: 杰克·吉伦哈尔 Jake Gyllenhaal / ...","2011","美国 加拿大","科幻 悬疑 惊悚","8.5","716426","https://movie.douban.com/subject/3075287/"
"215","新龙门客栈","导演: 李惠民 Raymond Lee","主演: 张曼玉 Maggie Cheung / 林青霞 Brigitte ...","1992","中国香港 中国大陆","动作 爱情 武侠 古装","8.6","385641","https://movie.douban.com/subject/1292287/"
"216","无耻混蛋","导演: Quentin Tarantino","主演: 布拉德·皮特 Brad Pitt / 梅拉尼·罗兰 M...","2009","德国 美国","剧情 犯罪","8.6","414381","https://movie.douban.com/subject/1438652/"
"217","步履不停","导演: 是枝裕和 Hirokazu Koreeda","主演: 阿部宽 Hiroshi Abe / 夏川结衣 Yu...","2008","日本","剧情 家庭","8.8","237972","https://movie.douban.com/subject/2222996/"
"218","燃情岁月","导演: 爱德华·兹威克 Edward Zwick","主演: 布拉德·皮特 Brad Pitt / 安东...","1994","美国","剧情 爱情 战争 西部","8.8","254424","https://movie.douban.com/subject/1295865/"
"219","海洋","导演: 雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud","主演:...","2009","法国 瑞士 西班牙 美国 阿联酋 摩纳哥","纪录片","9.1","144817","https://movie.douban.com/subject/3443389/"
"220","无间道2","导演: 刘伟强 / 麦兆辉","主演: 陈冠希 / 余文乐 / 曾志伟","2003","中国香港","剧情 犯罪 惊悚","8.7","382773","https://movie.douban.com/subject/1307106/"
"221","疯狂的麦克斯4：狂暴之路","导演: 乔治·米勒 George Miller","主演: 汤姆·哈迪 Tom Hardy / 查理兹·塞...","2015","澳大利亚 美国","动作 科幻 冒险","8.6","457514","https://movie.douban.com/subject/3592854/"
"222","东京教父","导演: 今敏 Satoshi Kon","主演: 江守彻 Toru Emori / 梅垣义明 Yoshiaki Ume...","2003","日本","剧情 喜剧 动画","9.0","170508","https://movie.douban.com/subject/1310177/"
"223","血钻","导演: 爱德华·兹威克 Edward Zwick","主演: 莱昂纳多·迪卡普里奥 Leonardo ...","2006","美国 德国 英国","剧情 惊悚 冒险","8.7","323524","https://movie.douban.com/subject/1428175/"
"224","战争之王","导演: 安德鲁·尼科尔 Andrew Niccol","主演: 尼古拉斯·凯奇 Nicolas Cage /...","2005","法国 德国 美国","剧情 犯罪","8.7","312900","https://movie.douban.com/subject/1419936/"
"225","谍影重重2","导演: 保罗·格林格拉斯 Paul Greengrass","主演: 马特·达蒙 Matt Damon / ...","2004","美国 德国","动作 悬疑 惊悚","8.7","310079","https://movie.douban.com/subject/1308767/"
"226","穿越时空的少女","导演: 细田守 Mamoru Hosoda","主演: 仲里依纱 Riisa Naka / 石田卓也 Takuya...","2006","日本","剧情 爱情 科幻 动画","8.6","340452","https://movie.douban.com/subject/1937946/"
"227","彗星来的那一夜","导演: 詹姆斯·沃德·布柯特 James Ward Byrkit","主演: 艾米丽·芭尔多尼 Em...","2013","美国 英国","科幻 悬疑 惊悚","8.5","471198","https://movie.douban.com/subject/25807345/"
"228","千钧一发","导演: 安德鲁·尼科尔 Andrew Niccol","主演: 伊桑·霍克 Ethan Hawke / 乌玛...","1997","美国","剧情 科幻 惊悚","8.8","241198","https://movie.douban.com/subject/1300117/"
"229","茶馆","导演: 谢添 Tian Xie","主演: 于是之 Shizhi Yu / 郑榕 Rong Zhen / 蓝天野 T...","1982","中国大陆","剧情 历史","9.5","86340","https://movie.douban.com/subject/1461403/"
"230","阿飞正传","导演: 王家卫 Kar Wai Wong","主演: 张国荣 Leslie Cheung / 张曼玉 Maggie C...","1990","中国香港","犯罪 剧情 爱情","8.5","438558","https://movie.douban.com/subject/1305690/"
"231","地球上的星星","导演: 阿米尔·汗 Aamir Khan","主演: 达席尔·萨法瑞 Darsheel Safary / 阿...","2007","印度","剧情 儿童 家庭","8.9","181898","https://movie.douban.com/subject/2363506/"
"232","谍影重重","导演: 道格·里曼 Doug Liman","主演: 马特·达蒙 Matt Damon / 弗兰卡·波坦...","2002","美国 德国 捷克","动作 悬疑 惊悚","8.6","371825","https://movie.douban.com/subject/1304102/"
"233","香水","导演: 汤姆·提克威 Tom Tykwer","主演: 本·卫肖 Ben Whishaw / 艾伦·瑞克...","2006","德国 法国 西班牙 美国 比利时","剧情 犯罪 奇幻","8.5","487503","https://movie.douban.com/subject/1760622/"
"234","背靠背，脸对脸","导演: 黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang","主演: 牛振华 Zhenhua N...","1994","中国大陆 中国香港","剧情","9.5","87853","https://movie.douban.com/subject/1307856/"
"235","黑客帝国2：重装上阵","导演: 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski","...","2003","美国","动作 科幻","8.6","346579","https://movie.douban.com/subject/1304141/"
"236","完美陌生人","导演: 保罗·格诺维瑟 Paolo Genovese","主演: 马可·贾利尼 Marco Giallini ...","2016","意大利","剧情 喜剧","8.5","471263","https://movie.douban.com/subject/26614893/"
"237","朗读者","导演: 史蒂芬·戴德利 Stephen Daldry","主演: 凯特·温丝莱特 Kate Winslet ...","2008","美国 德国","剧情 爱情","8.6","411865","https://movie.douban.com/subject/2213597/"
"238","崖上的波妞","导演: 宫崎骏 Hayao Miyazaki","主演: 奈良柚莉爱 Yuria Nara / 土井洋辉 Hir...","2008","日本","动画 奇幻 冒险","8.6","409241","https://movie.douban.com/subject/1959877/"
"239","再次出发之纽约遇见你","导演: 约翰·卡尼 John Carney","主演: 凯拉·奈特莉 Keira Knightley / 马克...","2013","美国","喜剧 爱情 音乐","8.6","373266","https://movie.douban.com/subject/6874403/"
"240","我爱你","导演: 秋昌民 Chang-min Choo","主演: 宋在河 Jae-ho Song / 李顺载 Soon-jae...","2011","韩国","剧情 爱情","9.1","144825","https://movie.douban.com/subject/5908478/"
"241","猜火车","导演: 丹尼·博伊尔 Danny Boyle","主演: 伊万·麦克格雷格 Ewan McGregor / ...","1996","英国","剧情 犯罪","8.6","376684","https://movie.douban.com/subject/1292528/"
"242","浪潮","导演: 丹尼斯·甘塞尔 Dennis Gansel","主演: 尤尔根·沃格尔 Jürgen Vogel ...","2008","德国","剧情 惊悚","8.7","240264","https://movie.douban.com/subject/2297265/"
"243","聚焦","导演: 托马斯·麦卡锡 Thomas McCarthy","主演: 马克·鲁弗洛 Mark Ruffalo /...","2015","美国","剧情 传记","8.8","244950","https://movie.douban.com/subject/25954475/"
"244","追随","导演: 克里斯托弗·诺兰 Christopher Nolan","主演: 杰里米·西奥伯德 Jeremy...","1998","英国","犯罪 悬疑 惊悚","8.9","159893","https://movie.douban.com/subject/1397546/"
"245","小萝莉的猴神大叔","导演: 卡比尔·汗 Kabir Khan","主演: 萨尔曼·汗 Salman Khan / 哈莎莉·马...","2015","印度","剧情 喜剧 动作","8.4","435134","https://movie.douban.com/subject/26393561/"
"246","末路狂花","导演: 雷德利·斯科特 Ridley Scott","主演: 吉娜·戴维斯 Geena Davis / 苏...","1991","美国 英国 法国","犯罪 剧情 惊悚","8.8","194219","https://movie.douban.com/subject/1291992/"
"247","东京物语","导演: 小津安二郎 Yasujirô Ozu","主演: 笠智众 Chishû Ryû / 原节...","1953","日本","剧情 家庭","9.1","120280","https://movie.douban.com/subject/1291568/"
"248","发条橙","导演: 斯坦利·库布里克 Stanley Kubrick","主演: 马尔科姆·麦克道威尔 Malc...","1971","英国 美国","犯罪 剧情 科幻","8.6","323912","https://movie.douban.com/subject/1292233/"
"249","爱乐之城","导演: 达米恩·查泽雷 Damien Chazelle","主演: 瑞恩·高斯林 Ryan Gosling /...","2016","美国","剧情 爱情 歌舞","8.4","735830","https://movie.douban.com/subject/25934014/"
"250","一次别离","导演: 阿斯哈·法哈蒂  Asghar Farhadi","主演: 佩曼·莫阿迪 Peyman Moadi /...","2011","伊朗 法国","剧情 家庭","8.7","227899","https://movie.douban.com/subject/5964718/"
